p n nt time
256 5001 100 0.076508
256 5001 100 0.076606
256 5001 100 0.076573
256 5001 100 0.076627
256 5001 100 0.076653
256 5001 100 0.076675
256 5001 100 0.076866
256 5001 100 0.076910
256 5001 100 0.076832
256 5001 100 0.076850
256 5001 100 0.076842
256 5001 100 0.076707
256 5001 100 0.077016
256 5001 100 0.076957
256 5001 100 0.077125
256 5001 100 0.077047
256 5001 100 0.076986
256 5001 100 0.077114
256 5001 100 0.077215
256 5001 100 0.077124
256 5001 100 0.077287
256 5001 100 0.077315
256 5001 100 0.077608
256 5001 100 0.077209
256 5001 100 0.078053
256 5001 100 0.077166
256 5001 100 0.077390
256 5001 100 0.077788
256 5001 100 0.077787
256 5001 100 0.077183
256 5001 100 0.077124
256 5001 100 0.078008
256 5001 100 0.077818
256 5001 100 0.077366
256 5001 100 0.077416
256 5001 100 0.078068
256 5001 100 0.077522
256 5001 100 0.077739
256 5001 100 0.077899
256 5001 100 0.077265
256 5001 100 0.077685
256 5001 100 0.077990
256 5001 100 0.077307
256 5001 100 0.077740
256 5001 100 0.078094
256 5001 100 0.077268
256 5001 100 0.077808
256 5001 100 0.078054
256 5001 100 0.078144
256 5001 100 0.077988
256 5001 100 0.077244
256 5001 100 0.077767
256 5001 100 0.078264
256 5001 100 0.078109
256 5001 100 0.077192
256 5001 100 0.077842
256 5001 100 0.078131
256 5001 100 0.078102
256 5001 100 0.077981
256 5001 100 0.077329
256 5001 100 0.077597
256 5001 100 0.078265
256 5001 100 0.078037
256 5001 100 0.077477
256 5001 100 0.077611
256 5001 100 0.078032
256 5001 100 0.077886
256 5001 100 0.078197
256 5001 100 0.077522
256 5001 100 0.077563
256 5001 100 0.078160
256 5001 100 0.078131
256 5001 100 0.078097
256 5001 100 0.077599
256 5001 100 0.077645
256 5001 100 0.078225
256 5001 100 0.078119
256 5001 100 0.077511
256 5001 100 0.077581
256 5001 100 0.078103
256 5001 100 0.078199
256 5001 100 0.078051
256 5001 100 0.078226
256 5001 100 0.077481
256 5001 100 0.077820
256 5001 100 0.078221
256 5001 100 0.078523
256 5001 100 0.077938
256 5001 100 0.078120
256 5001 100 0.078182
256 5001 100 0.077459
256 5001 100 0.078199
256 5001 100 0.078365
256 5001 100 0.077621
256 5001 100 0.077839
256 5001 100 0.078423
256 5001 100 0.078513
256 5001 100 0.078101
256 5001 100 0.077885
256 5001 100 0.078206
256 5001 100 0.078637
256 5001 100 0.078218
256 5001 100 0.078050
256 5001 100 0.078247
256 5001 100 0.077421
256 5001 100 0.077894
256 5001 100 0.078349
256 5001 100 0.078657
256 5001 100 0.078249
256 5001 100 0.078104
256 5001 100 0.078355
256 5001 100 0.077850
256 5001 100 0.077862
256 5001 100 0.078182
256 5001 100 0.078763
256 5001 100 0.078213
256 5001 100 0.078040
256 5001 100 0.078240
256 5001 100 0.077848
256 5001 100 0.078191
256 5001 100 0.078003
256 5001 100 0.078382
256 5001 100 0.077678
256 5001 100 0.077806
256 5001 100 0.078274
256 5001 100 0.078842
256 5001 100 0.077926
256 5001 100 0.078378
256 5001 100 0.078889
256 5001 100 0.078377
256 5001 100 0.078036
256 5001 100 0.078434
256 5001 100 0.078148
256 5001 100 0.077917
256 5001 100 0.078289
256 5001 100 0.078872
256 5001 100 0.078109
256 5001 100 0.077976
256 5001 100 0.078314
256 5001 100 0.078154
256 5001 100 0.077867
256 5001 100 0.078373
256 5001 100 0.078774
