p n nt time
512 2501 100 0.028044
512 2501 100 0.029992
512 2501 100 0.029561
512 2501 100 0.030075
512 2501 100 0.027081
512 2501 100 0.028029
512 2501 100 0.029343
512 2501 100 0.029880
512 2501 100 0.026997
512 2501 100 0.028397
512 2501 100 0.029478
512 2501 100 0.029999
512 2501 100 0.026900
512 2501 100 0.028079
512 2501 100 0.030297
512 2501 100 0.029219
512 2501 100 0.029961
512 2501 100 0.026998
512 2501 100 0.027924
512 2501 100 0.030279
512 2501 100 0.029542
512 2501 100 0.030379
512 2501 100 0.026722
512 2501 100 0.028214
512 2501 100 0.029708
512 2501 100 0.030515
512 2501 100 0.027001
512 2501 100 0.027944
512 2501 100 0.029723
512 2501 100 0.030473
512 2501 100 0.028729
512 2501 100 0.027944
512 2501 100 0.030115
512 2501 100 0.029588
512 2501 100 0.030081
512 2501 100 0.029056
512 2501 100 0.030541
512 2501 100 0.029812
512 2501 100 0.030374
512 2501 100 0.029201
512 2501 100 0.028001
512 2501 100 0.029822
512 2501 100 0.030500
512 2501 100 0.028111
512 2501 100 0.029870
512 2501 100 0.028298
512 2501 100 0.028213
512 2501 100 0.030847
512 2501 100 0.028495
512 2501 100 0.028458
512 2501 100 0.030681
512 2501 100 0.028205
512 2501 100 0.028173
512 2501 100 0.028164
512 2501 100 0.031317
512 2501 100 0.028065
512 2501 100 0.028372
512 2501 100 0.028469
512 2501 100 0.031421
512 2501 100 0.028606
512 2501 100 0.028081
512 2501 100 0.031361
512 2501 100 0.028117
512 2501 100 0.031191
512 2501 100 0.028152
512 2501 100 0.031396
512 2501 100 0.031429
512 2501 100 0.031602
512 2501 100 0.031177
512 2501 100 0.031505
512 2501 100 0.031501
512 2501 100 0.031586
512 2501 100 0.031353
512 2501 100 0.031670
512 2501 100 0.031499
512 2501 100 0.031680
512 2501 100 0.031398
512 2501 100 0.031493
512 2501 100 0.031472
512 2501 100 0.031564
512 2501 100 0.031490
512 2501 100 0.031588
512 2501 100 0.031559
512 2501 100 0.031526
512 2501 100 0.031197
512 2501 100 0.031549
512 2501 100 0.031767
512 2501 100 0.031707
512 2501 100 0.031409
512 2501 100 0.031324
512 2501 100 0.031540
512 2501 100 0.031589
512 2501 100 0.031581
512 2501 100 0.031888
512 2501 100 0.031389
512 2501 100 0.031615
512 2501 100 0.031357
512 2501 100 0.031494
512 2501 100 0.031455
512 2501 100 0.031680
512 2501 100 0.031600
512 2501 100 0.031815
512 2501 100 0.031699
512 2501 100 0.031665
512 2501 100 0.032146
512 2501 100 0.031902
512 2501 100 0.031661
512 2501 100 0.032123
512 2501 100 0.031785
512 2501 100 0.032169
512 2501 100 0.031861
512 2501 100 0.032442
512 2501 100 0.032233
512 2501 100 0.031782
512 2501 100 0.032257
512 2501 100 0.032171
512 2501 100 0.031874
512 2501 100 0.031774
512 2501 100 0.032400
512 2501 100 0.032033
512 2501 100 0.032074
512 2501 100 0.032439
512 2501 100 0.031938
512 2501 100 0.032141
512 2501 100 0.032215
512 2501 100 0.032452
512 2501 100 0.031878
512 2501 100 0.032394
512 2501 100 0.032328
512 2501 100 0.032223
512 2501 100 0.032057
512 2501 100 0.032330
512 2501 100 0.032511
512 2501 100 0.031999
512 2501 100 0.032973
512 2501 100 0.032244
512 2501 100 0.032413
512 2501 100 0.032706
512 2501 100 0.032321
512 2501 100 0.032465
512 2501 100 0.032393
512 2501 100 0.032415
512 2501 100 0.032566
512 2501 100 0.032393
512 2501 100 0.032411
512 2501 100 0.032809
512 2501 100 0.032687
512 2501 100 0.032457
512 2501 100 0.032608
512 2501 100 0.032483
512 2501 100 0.032996
512 2501 100 0.032572
512 2501 100 0.033023
512 2501 100 0.032790
512 2501 100 0.032963
512 2501 100 0.032514
512 2501 100 0.032863
512 2501 100 0.032845
512 2501 100 0.033266
512 2501 100 0.032712
512 2501 100 0.033143
512 2501 100 0.032675
512 2501 100 0.032981
512 2501 100 0.032598
512 2501 100 0.032890
512 2501 100 0.032591
512 2501 100 0.033131
512 2501 100 0.032529
512 2501 100 0.033349
512 2501 100 0.032520
512 2501 100 0.033081
512 2501 100 0.032593
512 2501 100 0.033282
512 2501 100 0.032775
512 2501 100 0.033021
512 2501 100 0.032699
512 2501 100 0.033292
512 2501 100 0.032691
512 2501 100 0.032899
512 2501 100 0.032652
512 2501 100 0.033496
512 2501 100 0.032597
512 2501 100 0.033239
512 2501 100 0.032770
512 2501 100 0.033500
512 2501 100 0.033012
512 2501 100 0.033781
512 2501 100 0.033051
512 2501 100 0.033573
512 2501 100 0.032854
512 2501 100 0.033787
512 2501 100 0.032852
512 2501 100 0.033827
512 2501 100 0.033246
512 2501 100 0.033029
512 2501 100 0.033003
512 2501 100 0.034280
512 2501 100 0.034368
512 2501 100 0.034289
512 2501 100 0.034077
512 2501 100 0.033827
512 2501 100 0.034114
512 2501 100 0.034136
512 2501 100 0.033968
512 2501 100 0.034452
512 2501 100 0.034553
512 2501 100 0.034397
512 2501 100 0.034384
512 2501 100 0.034471
512 2501 100 0.034010
512 2501 100 0.034170
512 2501 100 0.034458
512 2501 100 0.034360
512 2501 100 0.034259
512 2501 100 0.034386
512 2501 100 0.034245
512 2501 100 0.034336
512 2501 100 0.034185
512 2501 100 0.034138
512 2501 100 0.034274
512 2501 100 0.034423
512 2501 100 0.035651
512 2501 100 0.035516
512 2501 100 0.035590
512 2501 100 0.035292
512 2501 100 0.035231
512 2501 100 0.035509
512 2501 100 0.035732
512 2501 100 0.035793
512 2501 100 0.035751
512 2501 100 0.035704
512 2501 100 0.035553
512 2501 100 0.035797
512 2501 100 0.035558
512 2501 100 0.035792
512 2501 100 0.035546
512 2501 100 0.035692
512 2501 100 0.035362
512 2501 100 0.035642
512 2501 100 0.035569
512 2501 100 0.035742
512 2501 100 0.035472
512 2501 100 0.035860
