p n nt time
1024 2501 100 0.054681
1024 2501 100 0.056327
1024 2501 100 0.052150
1024 2501 100 0.055156
1024 2501 100 0.056403
1024 2501 100 0.055721
1024 2501 100 0.052521
1024 2501 100 0.055377
1024 2501 100 0.055517
1024 2501 100 0.055774
1024 2501 100 0.052705
1024 2501 100 0.055767
1024 2501 100 0.055941
1024 2501 100 0.052068
1024 2501 100 0.055639
1024 2501 100 0.056085
1024 2501 100 0.052828
1024 2501 100 0.055101
1024 2501 100 0.055958
1024 2501 100 0.055242
1024 2501 100 0.052781
1024 2501 100 0.055417
1024 2501 100 0.056477
1024 2501 100 0.055906
1024 2501 100 0.052767
1024 2501 100 0.055645
1024 2501 100 0.056546
1024 2501 100 0.055738
1024 2501 100 0.052623
1024 2501 100 0.056532
1024 2501 100 0.056042
1024 2501 100 0.052785
1024 2501 100 0.051666
1024 2501 100 0.056344
1024 2501 100 0.055528
1024 2501 100 0.052239
1024 2501 100 0.055644
1024 2501 100 0.056586
1024 2501 100 0.055620
1024 2501 100 0.051996
1024 2501 100 0.054944
1024 2501 100 0.056885
1024 2501 100 0.056119
1024 2501 100 0.057346
1024 2501 100 0.052561
1024 2501 100 0.055142
1024 2501 100 0.056724
1024 2501 100 0.056241
1024 2501 100 0.057888
1024 2501 100 0.052327
1024 2501 100 0.054813
1024 2501 100 0.056436
1024 2501 100 0.056357
1024 2501 100 0.057488
1024 2501 100 0.052581
1024 2501 100 0.055117
1024 2501 100 0.056655
1024 2501 100 0.056560
1024 2501 100 0.055702
1024 2501 100 0.052470
1024 2501 100 0.054995
1024 2501 100 0.056595
1024 2501 100 0.055951
1024 2501 100 0.057761
1024 2501 100 0.052208
1024 2501 100 0.055183
1024 2501 100 0.057050
1024 2501 100 0.056458
1024 2501 100 0.057685
1024 2501 100 0.053411
1024 2501 100 0.055604
1024 2501 100 0.056883
1024 2501 100 0.056614
1024 2501 100 0.052481
1024 2501 100 0.055299
1024 2501 100 0.056887
1024 2501 100 0.056631
1024 2501 100 0.057803
1024 2501 100 0.053185
1024 2501 100 0.054837
1024 2501 100 0.056524
1024 2501 100 0.055979
1024 2501 100 0.052928
1024 2501 100 0.055039
1024 2501 100 0.056942
1024 2501 100 0.055428
1024 2501 100 0.053495
1024 2501 100 0.055477
1024 2501 100 0.056576
1024 2501 100 0.056787
1024 2501 100 0.053413
1024 2501 100 0.054944
1024 2501 100 0.057178
1024 2501 100 0.056338
1024 2501 100 0.057905
1024 2501 100 0.053616
1024 2501 100 0.054653
1024 2501 100 0.057188
1024 2501 100 0.056371
1024 2501 100 0.053628
1024 2501 100 0.055435
1024 2501 100 0.057131
1024 2501 100 0.055378
1024 2501 100 0.058227
1024 2501 100 0.053500
1024 2501 100 0.056000
1024 2501 100 0.056706
1024 2501 100 0.056264
1024 2501 100 0.057839
1024 2501 100 0.052021
1024 2501 100 0.055304
1024 2501 100 0.057313
1024 2501 100 0.056484
1024 2501 100 0.057625
1024 2501 100 0.053396
1024 2501 100 0.056043
1024 2501 100 0.056856
1024 2501 100 0.056558
1024 2501 100 0.056014
1024 2501 100 0.053294
1024 2501 100 0.055706
1024 2501 100 0.057207
1024 2501 100 0.055749
1024 2501 100 0.058353
1024 2501 100 0.053736
1024 2501 100 0.055449
1024 2501 100 0.056732
1024 2501 100 0.055553
1024 2501 100 0.058278
1024 2501 100 0.053362
1024 2501 100 0.056062
1024 2501 100 0.056852
1024 2501 100 0.056782
1024 2501 100 0.058165
1024 2501 100 0.053079
1024 2501 100 0.055441
1024 2501 100 0.056830
1024 2501 100 0.056044
1024 2501 100 0.058098
1024 2501 100 0.056038
1024 2501 100 0.057364
1024 2501 100 0.055599
1024 2501 100 0.058402
1024 2501 100 0.055592
1024 2501 100 0.057370
1024 2501 100 0.055896
1024 2501 100 0.058515
1024 2501 100 0.055342
1024 2501 100 0.057213
1024 2501 100 0.055833
1024 2501 100 0.058148
1024 2501 100 0.055625
1024 2501 100 0.056958
1024 2501 100 0.056514
1024 2501 100 0.057493
1024 2501 100 0.055513
1024 2501 100 0.057222
1024 2501 100 0.054378
1024 2501 100 0.056199
1024 2501 100 0.055246
1024 2501 100 0.053989
1024 2501 100 0.056719
1024 2501 100 0.057632
1024 2501 100 0.055561
1024 2501 100 0.057613
1024 2501 100 0.056732
1024 2501 100 0.058539
1024 2501 100 0.055732
1024 2501 100 0.057621
1024 2501 100 0.056457
1024 2501 100 0.058021
1024 2501 100 0.055809
1024 2501 100 0.057383
1024 2501 100 0.056044
1024 2501 100 0.058137
1024 2501 100 0.055439
1024 2501 100 0.057566
1024 2501 100 0.056548
1024 2501 100 0.058589
1024 2501 100 0.055637
1024 2501 100 0.057280
1024 2501 100 0.056633
1024 2501 100 0.058074
1024 2501 100 0.055413
1024 2501 100 0.057445
1024 2501 100 0.056531
1024 2501 100 0.058648
1024 2501 100 0.055597
1024 2501 100 0.057539
1024 2501 100 0.056895
1024 2501 100 0.055923
1024 2501 100 0.055372
1024 2501 100 0.057392
1024 2501 100 0.056496
1024 2501 100 0.058601
1024 2501 100 0.055305
1024 2501 100 0.058167
1024 2501 100 0.056103
1024 2501 100 0.057732
1024 2501 100 0.055915
1024 2501 100 0.058034
1024 2501 100 0.055982
1024 2501 100 0.061421
1024 2501 100 0.058219
1024 2501 100 0.055140
1024 2501 100 0.057873
1024 2501 100 0.056028
1024 2501 100 0.060542
1024 2501 100 0.058503
1024 2501 100 0.052187
1024 2501 100 0.058016
1024 2501 100 0.056876
1024 2501 100 0.058278
1024 2501 100 0.055868
1024 2501 100 0.058437
1024 2501 100 0.056983
1024 2501 100 0.058376
1024 2501 100 0.061451
1024 2501 100 0.057668
1024 2501 100 0.055479
1024 2501 100 0.057895
1024 2501 100 0.056442
1024 2501 100 0.061148
1024 2501 100 0.056261
1024 2501 100 0.054950
1024 2501 100 0.057977
1024 2501 100 0.055937
1024 2501 100 0.061083
1024 2501 100 0.058892
1024 2501 100 0.061740
1024 2501 100 0.055040
1024 2501 100 0.057557
1024 2501 100 0.056450
1024 2501 100 0.061442
1024 2501 100 0.058870
1024 2501 100 0.061708
1024 2501 100 0.056136
1024 2501 100 0.058330
1024 2501 100 0.056248
1024 2501 100 0.061362
1024 2501 100 0.058056
1024 2501 100 0.061834
1024 2501 100 0.055943
1024 2501 100 0.058230
1024 2501 100 0.053619
1024 2501 100 0.061336
1024 2501 100 0.058977
1024 2501 100 0.061834
1024 2501 100 0.055410
1024 2501 100 0.058460
1024 2501 100 0.056923
1024 2501 100 0.061355
1024 2501 100 0.058946
1024 2501 100 0.062249
1024 2501 100 0.056226
1024 2501 100 0.058558
1024 2501 100 0.056522
1024 2501 100 0.061040
1024 2501 100 0.058081
1024 2501 100 0.061535
1024 2501 100 0.055602
1024 2501 100 0.058382
1024 2501 100 0.056315
1024 2501 100 0.061419
1024 2501 100 0.058433
1024 2501 100 0.061943
1024 2501 100 0.055708
1024 2501 100 0.058056
1024 2501 100 0.056116
1024 2501 100 0.062310
1024 2501 100 0.058220
1024 2501 100 0.061997
1024 2501 100 0.055676
1024 2501 100 0.058125
1024 2501 100 0.056957
1024 2501 100 0.061665
1024 2501 100 0.058376
1024 2501 100 0.061986
1024 2501 100 0.055751
1024 2501 100 0.057777
1024 2501 100 0.059329
1024 2501 100 0.062358
1024 2501 100 0.058503
1024 2501 100 0.062390
1024 2501 100 0.056421
1024 2501 100 0.058415
1024 2501 100 0.059756
1024 2501 100 0.062289
1024 2501 100 0.058708
1024 2501 100 0.062224
1024 2501 100 0.056149
1024 2501 100 0.058495
1024 2501 100 0.058981
1024 2501 100 0.062614
1024 2501 100 0.057733
1024 2501 100 0.061975
1024 2501 100 0.055545
1024 2501 100 0.058386
1024 2501 100 0.059196
1024 2501 100 0.062299
1024 2501 100 0.057924
1024 2501 100 0.062653
1024 2501 100 0.055564
1024 2501 100 0.058546
1024 2501 100 0.060029
1024 2501 100 0.061978
1024 2501 100 0.058005
1024 2501 100 0.062459
1024 2501 100 0.055739
1024 2501 100 0.057950
1024 2501 100 0.058997
1024 2501 100 0.058200
1024 2501 100 0.061871
1024 2501 100 0.055481
1024 2501 100 0.058329
1024 2501 100 0.059018
1024 2501 100 0.058766
1024 2501 100 0.061815
1024 2501 100 0.056090
1024 2501 100 0.058261
1024 2501 100 0.059898
1024 2501 100 0.058504
1024 2501 100 0.062208
1024 2501 100 0.055838
1024 2501 100 0.058649
1024 2501 100 0.059488
1024 2501 100 0.061898
1024 2501 100 0.062271
1024 2501 100 0.058875
1024 2501 100 0.062607
1024 2501 100 0.055849
1024 2501 100 0.058660
1024 2501 100 0.058626
1024 2501 100 0.062127
1024 2501 100 0.058683
1024 2501 100 0.062090
1024 2501 100 0.056093
1024 2501 100 0.058706
1024 2501 100 0.059359
1024 2501 100 0.062656
1024 2501 100 0.058807
1024 2501 100 0.062765
1024 2501 100 0.055482
1024 2501 100 0.058598
1024 2501 100 0.059121
1024 2501 100 0.061871
1024 2501 100 0.058679
1024 2501 100 0.062310
1024 2501 100 0.055814
1024 2501 100 0.058689
1024 2501 100 0.059241
1024 2501 100 0.062804
1024 2501 100 0.058053
1024 2501 100 0.061826
1024 2501 100 0.055825
1024 2501 100 0.058169
1024 2501 100 0.056313
1024 2501 100 0.062924
1024 2501 100 0.058448
1024 2501 100 0.062045
1024 2501 100 0.055576
1024 2501 100 0.058156
1024 2501 100 0.060226
1024 2501 100 0.062166
1024 2501 100 0.058160
1024 2501 100 0.062476
1024 2501 100 0.055636
1024 2501 100 0.058480
1024 2501 100 0.060205
1024 2501 100 0.062024
1024 2501 100 0.057901
1024 2501 100 0.061634
1024 2501 100 0.055925
1024 2501 100 0.058540
1024 2501 100 0.058853
1024 2501 100 0.062658
1024 2501 100 0.057945
1024 2501 100 0.062320
1024 2501 100 0.055839
1024 2501 100 0.058733
1024 2501 100 0.060629
1024 2501 100 0.062790
1024 2501 100 0.056474
1024 2501 100 0.062791
1024 2501 100 0.055598
1024 2501 100 0.058414
1024 2501 100 0.059890
1024 2501 100 0.062574
1024 2501 100 0.059127
1024 2501 100 0.062338
1024 2501 100 0.056616
1024 2501 100 0.058793
1024 2501 100 0.060477
1024 2501 100 0.062648
1024 2501 100 0.058998
1024 2501 100 0.062350
1024 2501 100 0.056099
1024 2501 100 0.058762
1024 2501 100 0.059228
1024 2501 100 0.062411
1024 2501 100 0.058987
1024 2501 100 0.062069
1024 2501 100 0.056661
1024 2501 100 0.058505
1024 2501 100 0.059685
1024 2501 100 0.062232
1024 2501 100 0.058740
1024 2501 100 0.062267
1024 2501 100 0.056238
1024 2501 100 0.058095
1024 2501 100 0.062558
1024 2501 100 0.058047
1024 2501 100 0.062683
1024 2501 100 0.058976
1024 2501 100 0.058652
1024 2501 100 0.062334
1024 2501 100 0.058243
1024 2501 100 0.062109
1024 2501 100 0.058641
1024 2501 100 0.062449
1024 2501 100 0.058097
1024 2501 100 0.061880
1024 2501 100 0.058924
1024 2501 100 0.061933
1024 2501 100 0.057910
1024 2501 100 0.062257
1024 2501 100 0.058584
1024 2501 100 0.062987
1024 2501 100 0.057886
1024 2501 100 0.058824
1024 2501 100 0.063013
1024 2501 100 0.058273
1024 2501 100 0.058709
1024 2501 100 0.063086
1024 2501 100 0.058955
1024 2501 100 0.059290
1024 2501 100 0.059788
1024 2501 100 0.058163
1024 2501 100 0.058500
1024 2501 100 0.063037
1024 2501 100 0.058830
1024 2501 100 0.058972
1024 2501 100 0.059124
1024 2501 100 0.062279
1024 2501 100 0.062330
1024 2501 100 0.062971
1024 2501 100 0.061893
1024 2501 100 0.058889
1024 2501 100 0.063035
1024 2501 100 0.062020
1024 2501 100 0.058720
1024 2501 100 0.063047
1024 2501 100 0.061729
1024 2501 100 0.059160
1024 2501 100 0.062837
1024 2501 100 0.061477
1024 2501 100 0.058978
1024 2501 100 0.062817
1024 2501 100 0.061983
1024 2501 100 0.059407
1024 2501 100 0.062177
1024 2501 100 0.061667
1024 2501 100 0.059381
1024 2501 100 0.062939
1024 2501 100 0.062549
1024 2501 100 0.058860
1024 2501 100 0.062645
1024 2501 100 0.062147
1024 2501 100 0.058729
1024 2501 100 0.063002
1024 2501 100 0.062394
1024 2501 100 0.059275
1024 2501 100 0.062334
1024 2501 100 0.062109
1024 2501 100 0.057581
1024 2501 100 0.062891
1024 2501 100 0.062137
1024 2501 100 0.058886
1024 2501 100 0.062979
1024 2501 100 0.061902
1024 2501 100 0.058994
1024 2501 100 0.062852
1024 2501 100 0.061731
1024 2501 100 0.058653
1024 2501 100 0.062009
1024 2501 100 0.062052
1024 2501 100 0.058973
1024 2501 100 0.062775
1024 2501 100 0.062252
1024 2501 100 0.058923
1024 2501 100 0.062440
1024 2501 100 0.061662
1024 2501 100 0.059241
1024 2501 100 0.062478
1024 2501 100 0.062076
1024 2501 100 0.059194
1024 2501 100 0.062324
1024 2501 100 0.061990
1024 2501 100 0.058500
1024 2501 100 0.062626
1024 2501 100 0.061850
1024 2501 100 0.058578
1024 2501 100 0.067505
1024 2501 100 0.063054
1024 2501 100 0.061816
1024 2501 100 0.067764
1024 2501 100 0.058576
1024 2501 100 0.067262
1024 2501 100 0.062577
1024 2501 100 0.062536
1024 2501 100 0.067635
1024 2501 100 0.066979
1024 2501 100 0.062925
1024 2501 100 0.062324
1024 2501 100 0.067032
1024 2501 100 0.067036
1024 2501 100 0.063095
1024 2501 100 0.062289
1024 2501 100 0.068121
1024 2501 100 0.068136
1024 2501 100 0.062481
1024 2501 100 0.062339
1024 2501 100 0.068613
1024 2501 100 0.068184
1024 2501 100 0.062720
1024 2501 100 0.061717
1024 2501 100 0.068484
1024 2501 100 0.068414
1024 2501 100 0.062316
1024 2501 100 0.062519
1024 2501 100 0.060580
1024 2501 100 0.067742
1024 2501 100 0.062550
1024 2501 100 0.062786
1024 2501 100 0.068156
1024 2501 100 0.067685
1024 2501 100 0.062798
1024 2501 100 0.062407
1024 2501 100 0.067934
1024 2501 100 0.068262
1024 2501 100 0.062408
1024 2501 100 0.062515
1024 2501 100 0.068338
1024 2501 100 0.067930
1024 2501 100 0.061858
1024 2501 100 0.062264
1024 2501 100 0.068742
1024 2501 100 0.068643
1024 2501 100 0.062390
1024 2501 100 0.068234
1024 2501 100 0.067839
1024 2501 100 0.062638
1024 2501 100 0.059959
1024 2501 100 0.069042
1024 2501 100 0.067927
1024 2501 100 0.062485
1024 2501 100 0.062412
1024 2501 100 0.068435
1024 2501 100 0.067718
1024 2501 100 0.062440
1024 2501 100 0.061732
1024 2501 100 0.068453
1024 2501 100 0.067605
1024 2501 100 0.062735
1024 2501 100 0.069277
1024 2501 100 0.061631
1024 2501 100 0.068580
1024 2501 100 0.068081
1024 2501 100 0.062776
1024 2501 100 0.068611
1024 2501 100 0.068779
1024 2501 100 0.062752
1024 2501 100 0.068455
1024 2501 100 0.068537
1024 2501 100 0.062966
1024 2501 100 0.068860
1024 2501 100 0.068790
1024 2501 100 0.062723
1024 2501 100 0.069158
1024 2501 100 0.068092
1024 2501 100 0.062934
1024 2501 100 0.068832
1024 2501 100 0.068146
1024 2501 100 0.063031
1024 2501 100 0.069165
1024 2501 100 0.068120
1024 2501 100 0.063372
1024 2501 100 0.069239
1024 2501 100 0.067639
1024 2501 100 0.063327
1024 2501 100 0.069152
1024 2501 100 0.067786
1024 2501 100 0.063205
1024 2501 100 0.066258
1024 2501 100 0.067427
1024 2501 100 0.062821
1024 2501 100 0.068275
1024 2501 100 0.063386
1024 2501 100 0.062693
1024 2501 100 0.068420
1024 2501 100 0.064217
1024 2501 100 0.063273
1024 2501 100 0.068946
1024 2501 100 0.068268
1024 2501 100 0.062383
1024 2501 100 0.069081
1024 2501 100 0.069165
1024 2501 100 0.062516
1024 2501 100 0.069138
1024 2501 100 0.069316
1024 2501 100 0.063182
1024 2501 100 0.068455
1024 2501 100 0.069298
1024 2501 100 0.062701
1024 2501 100 0.068274
1024 2501 100 0.069230
1024 2501 100 0.062817
1024 2501 100 0.068505
1024 2501 100 0.069288
1024 2501 100 0.062945
1024 2501 100 0.068549
1024 2501 100 0.069314
1024 2501 100 0.063007
1024 2501 100 0.069139
1024 2501 100 0.068967
1024 2501 100 0.063239
1024 2501 100 0.068450
1024 2501 100 0.068566
1024 2501 100 0.062532
1024 2501 100 0.068739
1024 2501 100 0.062754
1024 2501 100 0.069010
1024 2501 100 0.063133
1024 2501 100 0.068797
1024 2501 100 0.069150
1024 2501 100 0.063189
1024 2501 100 0.068297
