p n nt time
256 10001 25 0.305334
256 10001 25 0.305327
256 10001 25 0.306105
256 10001 25 0.305945
256 10001 25 0.306105
256 10001 25 0.305115
256 10001 25 0.306056
256 10001 25 0.306690
256 10001 25 0.306525
256 10001 25 0.306603
256 10001 25 0.306811
256 10001 25 0.307320
256 10001 25 0.307541
256 10001 25 0.306458
256 10001 25 0.307622
256 10001 25 0.306626
256 10001 25 0.307511
256 10001 25 0.308016
256 10001 25 0.307170
256 10001 25 0.307030
256 10001 25 0.307217
256 10001 25 0.307326
256 10001 25 0.307161
256 10001 25 0.307132
256 10001 25 0.308175
256 10001 25 0.308051
256 10001 25 0.307784
256 10001 25 0.307900
256 10001 25 0.308033
256 10001 25 0.308266
256 10001 25 0.308085
256 10001 25 0.308185
256 10001 25 0.308258
256 10001 25 0.307685
256 10001 25 0.307656
256 10001 25 0.308211
256 10001 25 0.308379
256 10001 25 0.308243
256 10001 25 0.308300
256 10001 25 0.308100
256 10001 25 0.308020
256 10001 25 0.308101
256 10001 25 0.308715
256 10001 25 0.308531
256 10001 25 0.308750
256 10001 25 0.308610
256 10001 25 0.309272
256 10001 25 0.308602
256 10001 25 0.309212
256 10001 25 0.308841
256 10001 25 0.309390
256 10001 25 0.309465
256 10001 25 0.310342
256 10001 25 0.308778
256 10001 25 0.309630
256 10001 25 0.309606
256 10001 25 0.309382
256 10001 25 0.309336
256 10001 25 0.308809
256 10001 25 0.308887
256 10001 25 0.308653
256 10001 25 0.309578
256 10001 25 0.309174
256 10001 25 0.309037
256 10001 25 0.309166
256 10001 25 0.309432
256 10001 25 0.309541
256 10001 25 0.309700
256 10001 25 0.309620
256 10001 25 0.309147
256 10001 25 0.309119
256 10001 25 0.308928
256 10001 25 0.309512
256 10001 25 0.309203
256 10001 25 0.309422
256 10001 25 0.309888
256 10001 25 0.312195
256 10001 25 0.309356
256 10001 25 0.309672
256 10001 25 0.309993
256 10001 25 0.309857
256 10001 25 0.309250
256 10001 25 0.309801
256 10001 25 0.309778
256 10001 25 0.309612
256 10001 25 0.307668
256 10001 25 0.310009
256 10001 25 0.309190
256 10001 25 0.310283
256 10001 25 0.309613
256 10001 25 0.310178
256 10001 25 0.310084
256 10001 25 0.310134
256 10001 25 0.309527
256 10001 25 0.309332
256 10001 25 0.310233
256 10001 25 0.309884
256 10001 25 0.309877
256 10001 25 0.309816
256 10001 25 0.310192
256 10001 25 0.309608
256 10001 25 0.310406
256 10001 25 0.310366
256 10001 25 0.309861
256 10001 25 0.310057
256 10001 25 0.309701
256 10001 25 0.310436
256 10001 25 0.310280
256 10001 25 0.309914
256 10001 25 0.310740
256 10001 25 0.309656
256 10001 25 0.310036
256 10001 25 0.310530
256 10001 25 0.314653
256 10001 25 0.310512
256 10001 25 0.310581
256 10001 25 0.309800
256 10001 25 0.310196
256 10001 25 0.310465
256 10001 25 0.310405
256 10001 25 0.310323
256 10001 25 0.310882
256 10001 25 0.310877
256 10001 25 0.310020
256 10001 25 0.310478
256 10001 25 0.309978
256 10001 25 0.309903
256 10001 25 0.310275
256 10001 25 0.310405
256 10001 25 0.311066
256 10001 25 0.310833
256 10001 25 0.310625
256 10001 25 0.310862
256 10001 25 0.310280
256 10001 25 0.310657
256 10001 25 0.310989
256 10001 25 0.310363
256 10001 25 0.310783
256 10001 25 0.310446
256 10001 25 0.311067
256 10001 25 0.311470
256 10001 25 0.311919
256 10001 25 0.311965
256 10001 25 0.313553
256 10001 25 0.317058
256 10001 25 0.319929
256 10001 25 0.322164
256 10001 25 0.324109
256 10001 25 0.326473
256 10001 25 0.328894
256 10001 25 0.330762
256 10001 25 0.333901
256 10001 25 0.336107
256 10001 25 0.335810
256 10001 25 0.336644
256 10001 25 0.336299
256 10001 25 0.337139
256 10001 25 0.337884
256 10001 25 0.338162
256 10001 25 0.340343
256 10001 25 0.340043
256 10001 25 0.342290
256 10001 25 0.342810
256 10001 25 0.342758
256 10001 25 0.347456
256 10001 25 0.347083
256 10001 25 0.347224
256 10001 25 0.347129
256 10001 25 0.348205
256 10001 25 0.348442
256 10001 25 0.348166
256 10001 25 0.348438
256 10001 25 0.348801
256 10001 25 0.348108
256 10001 25 0.348298
256 10001 25 0.348663
256 10001 25 0.349019
256 10001 25 0.349366
256 10001 25 0.349216
256 10001 25 0.348597
256 10001 25 0.349549
256 10001 25 0.349421
256 10001 25 0.349619
256 10001 25 0.349556
256 10001 25 0.349472
256 10001 25 0.350268
256 10001 25 0.350437
256 10001 25 0.350249
256 10001 25 0.350317
256 10001 25 0.350006
256 10001 25 0.349598
256 10001 25 0.350646
256 10001 25 0.350044
256 10001 25 0.350400
256 10001 25 0.350246
256 10001 25 0.351230
256 10001 25 0.350682
256 10001 25 0.350841
256 10001 25 0.351459
256 10001 25 0.351766
256 10001 25 0.351668
256 10001 25 0.351253
256 10001 25 0.351946
256 10001 25 0.351720
256 10001 25 0.352487
256 10001 25 0.352431
256 10001 25 0.352173
256 10001 25 0.352166
256 10001 25 0.352663
256 10001 25 0.352424
256 10001 25 0.352207
256 10001 25 0.352684
256 10001 25 0.353078
256 10001 25 0.353310
256 10001 25 0.353732
256 10001 25 0.353243
256 10001 25 0.353383
256 10001 25 0.353153
256 10001 25 0.353241
256 10001 25 0.353877
256 10001 25 0.353739
256 10001 25 0.353598
256 10001 25 0.353807
256 10001 25 0.353962
256 10001 25 0.354256
256 10001 25 0.353967
256 10001 25 0.354249
256 10001 25 0.354419
256 10001 25 0.353806
256 10001 25 0.347700
256 10001 25 0.353732
256 10001 25 0.354353
256 10001 25 0.353834
256 10001 25 0.353561
256 10001 25 0.354017
256 10001 25 0.355741
256 10001 25 0.356653
256 10001 25 0.359051
256 10001 25 0.358561
256 10001 25 0.361460
256 10001 25 0.361019
256 10001 25 0.361702
256 10001 25 0.362012
256 10001 25 0.361612
256 10001 25 0.361856
512 10001 25 0.150196
512 10001 25 0.150332
512 10001 25 0.150306
512 10001 25 0.150514
512 10001 25 0.150720
512 10001 25 0.150865
512 10001 25 0.155282
512 10001 25 0.155058
512 10001 25 0.156445
512 10001 25 0.156164
512 10001 25 0.155913
512 10001 25 0.156596
512 10001 25 0.156723
512 10001 25 0.156104
512 10001 25 0.156315
512 10001 25 0.155713
512 10001 25 0.156080
512 10001 25 0.155854
512 10001 25 0.155714
512 10001 25 0.155984
512 10001 25 0.155170
512 10001 25 0.155582
512 10001 25 0.156148
512 10001 25 0.156566
512 10001 25 0.155954
512 10001 25 0.155279
512 10001 25 0.155690
512 10001 25 0.155634
512 10001 25 0.155703
512 10001 25 0.157476
512 10001 25 0.156813
512 10001 25 0.157038
512 10001 25 0.157549
512 10001 25 0.157832
512 10001 25 0.157009
512 10001 25 0.156334
512 10001 25 0.152662
512 10001 25 0.156643
512 10001 25 0.156976
512 10001 25 0.155386
512 10001 25 0.156605
512 10001 25 0.157798
512 10001 25 0.157487
512 10001 25 0.155826
512 10001 25 0.155746
512 10001 25 0.157910
512 10001 25 0.158195
512 10001 25 0.157306
512 10001 25 0.158268
512 10001 25 0.158240
512 10001 25 0.157935
512 10001 25 0.157969
512 10001 25 0.158091
512 10001 25 0.158339
512 10001 25 0.158191
512 10001 25 0.156833
512 10001 25 0.155304
512 10001 25 0.158055
512 10001 25 0.158505
512 10001 25 0.158654
512 10001 25 0.157994
512 10001 25 0.158212
512 10001 25 0.157848
512 10001 25 0.158264
512 10001 25 0.157972
512 10001 25 0.157630
512 10001 25 0.157966
512 10001 25 0.157961
512 10001 25 0.158181
512 10001 25 0.158262
512 10001 25 0.158170
512 10001 25 0.157738
512 10001 25 0.157738
512 10001 25 0.158326
512 10001 25 0.157678
512 10001 25 0.157964
512 10001 25 0.157761
512 10001 25 0.158390
512 10001 25 0.158025
512 10001 25 0.158114
512 10001 25 0.157854
512 10001 25 0.158115
512 10001 25 0.156821
512 10001 25 0.155771
512 10001 25 0.156695
512 10001 25 0.158786
512 10001 25 0.157794
512 10001 25 0.158598
512 10001 25 0.158665
512 10001 25 0.157924
512 10001 25 0.158809
512 10001 25 0.158591
512 10001 25 0.158589
512 10001 25 0.158044
512 10001 25 0.158438
512 10001 25 0.157969
512 10001 25 0.158268
512 10001 25 0.158432
512 10001 25 0.157642
512 10001 25 0.158545
512 10001 25 0.157850
512 10001 25 0.157044
512 10001 25 0.155323
512 10001 25 0.158502
512 10001 25 0.158912
512 10001 25 0.158451
512 10001 25 0.157913
512 10001 25 0.158118
512 10001 25 0.158732
512 10001 25 0.157957
512 10001 25 0.158193
512 10001 25 0.158404
512 10001 25 0.158420
512 10001 25 0.158277
512 10001 25 0.158005
512 10001 25 0.157872
512 10001 25 0.158406
512 10001 25 0.157987
512 10001 25 0.158665
512 10001 25 0.158603
512 10001 25 0.158436
512 10001 25 0.156999
512 10001 25 0.155086
512 10001 25 0.158952
512 10001 25 0.158232
512 10001 25 0.158894
512 10001 25 0.158671
512 10001 25 0.158544
512 10001 25 0.158323
512 10001 25 0.159089
512 10001 25 0.158562
512 10001 25 0.158988
512 10001 25 0.158322
512 10001 25 0.158753
512 10001 25 0.156835
512 10001 25 0.155728
512 10001 25 0.156612
512 10001 25 0.158808
512 10001 25 0.158918
512 10001 25 0.158149
512 10001 25 0.158723
512 10001 25 0.157527
512 10001 25 0.156136
512 10001 25 0.156303
512 10001 25 0.159162
512 10001 25 0.159356
512 10001 25 0.159268
512 10001 25 0.159401
512 10001 25 0.158884
512 10001 25 0.157053
512 10001 25 0.155692
512 10001 25 0.158730
512 10001 25 0.158881
512 10001 25 0.159296
512 10001 25 0.158994
512 10001 25 0.159546
512 10001 25 0.159451
512 10001 25 0.159045
512 10001 25 0.155925
512 10001 25 0.156159
512 10001 25 0.156801
512 10001 25 0.155631
512 10001 25 0.156089
512 10001 25 0.159700
512 10001 25 0.159240
512 10001 25 0.156865
512 10001 25 0.156172
512 10001 25 0.156278
512 10001 25 0.158881
512 10001 25 0.159819
512 10001 25 0.159674
512 10001 25 0.157157
512 10001 25 0.156149
512 10001 25 0.160092
512 10001 25 0.159432
512 10001 25 0.159603
512 10001 25 0.159140
512 10001 25 0.155143
512 10001 25 0.159401
512 10001 25 0.159471
512 10001 25 0.156987
512 10001 25 0.155796
512 10001 25 0.156939
512 10001 25 0.157562
512 10001 25 0.156682
512 10001 25 0.157570
512 10001 25 0.155628
512 10001 25 0.156829
512 10001 25 0.157016
512 10001 25 0.155882
512 10001 25 0.157117
512 10001 25 0.158005
512 10001 25 0.155534
512 10001 25 0.157283
512 10001 25 0.157851
512 10001 25 0.155801
512 10001 25 0.156912
512 10001 25 0.158520
512 10001 25 0.155756
512 10001 25 0.156873
512 10001 25 0.158966
512 10001 25 0.156245
512 10001 25 0.157065
512 10001 25 0.159934
512 10001 25 0.156326
512 10001 25 0.156908
512 10001 25 0.159812
512 10001 25 0.155977
512 10001 25 0.156614
512 10001 25 0.159673
512 10001 25 0.155990
512 10001 25 0.159450
512 10001 25 0.155688
512 10001 25 0.157138
512 10001 25 0.160089
512 10001 25 0.156102
